"filename", "language", "TypeScript", "HTML", "SCSS", "comment", "blank", "total"
"c:\Git\DietTrack\src\app\modules\goals\components\goals\goals.component.scss", "SCSS", 0, 0, 14, 0, 3, 17
"c:\Git\DietTrack\src\app\modules\goals\components\goals\goals.component.spec.ts", "TypeScript", 44, 0, 0, 0, 7, 51
"c:\Git\DietTrack\src\app\modules\goals\components\goals\goals.component.ts", "TypeScript", 29, 0, 0, 0, 7, 36
"c:\Git\DietTrack\src\app\modules\goals\components\macros\macros.component.html", "HTML", 0, 42, 0, 0, 2, 44
"c:\Git\DietTrack\src\app\modules\goals\components\macros\macros.component.scss", "SCSS", 0, 0, 18, 0, 5, 23
"c:\Git\DietTrack\src\app\modules\goals\components\macros\macros.component.spec.ts", "TypeScript", 49, 0, 0, 0, 6, 55
"c:\Git\DietTrack\src\app\modules\goals\components\macros\macros.component.ts", "TypeScript", 74, 0, 0, 0, 15, 89
"c:\Git\DietTrack\src\app\modules\goals\components\micros\micros.component.html", "HTML", 0, 35, 0, 0, 0, 35
"c:\Git\DietTrack\src\app\modules\goals\components\micros\micros.component.scss", "SCSS", 0, 0, 19, 0, 5, 24
"c:\Git\DietTrack\src\app\modules\goals\components\micros\micros.component.spec.ts", "TypeScript", 35, 0, 0, 0, 6, 41
"c:\Git\DietTrack\src\app\modules\goals\components\micros\micros.component.ts", "TypeScript", 30, 0, 0, 0, 9, 39
"c:\Git\DietTrack\src\app\modules\goals\goals-routing.module.ts", "TypeScript", 29, 0, 0, 0, 4, 33
"c:\Git\DietTrack\src\app\modules\goals\goals.module.ts", "TypeScript", 31, 0, 0, 0, 3, 34
"c:\Git\DietTrack\src\app\modules\meals\components\add-meal\add-meal.component.html", "HTML", 0, 122, 0, 0, 2, 124
"c:\Git\DietTrack\src\app\modules\meals\components\add-meal\add-meal.component.scss", "SCSS", 0, 0, 71, 0, 20, 91
"c:\Git\DietTrack\src\app\modules\meals\components\add-meal\add-meal.component.spec.ts", "TypeScript", 55, 0, 0, 0, 7, 62
"c:\Git\DietTrack\src\app\modules\meals\components\add-meal\add-meal.component.ts", "TypeScript", 146, 0, 0, 0, 30, 176
"c:\Git\DietTrack\src\app\modules\meals\components\meals\meals.component.html", "HTML", 0, 34, 0, 0, 1, 35
"c:\Git\DietTrack\src\app\modules\meals\components\meals\meals.component.scss", "SCSS", 0, 0, 18, 0, 4, 22
"c:\Git\DietTrack\src\app\modules\meals\components\meals\meals.component.spec.ts", "TypeScript", 64, 0, 0, 0, 9, 73
"c:\Git\DietTrack\src\app\modules\meals\components\meals\meals.component.ts", "TypeScript", 43, 0, 0, 0, 9, 52
"c:\Git\DietTrack\src\app\modules\meals\components\view-meal\view-meal.component.html", "HTML", 0, 98, 0, 0, 0, 98
"c:\Git\DietTrack\src\app\modules\meals\components\view-meal\view-meal.component.scss", "SCSS", 0, 0, 37, 0, 10, 47
"c:\Git\DietTrack\src\app\modules\meals\components\view-meal\view-meal.component.spec.ts", "TypeScript", 51, 0, 0, 0, 8, 59
"c:\Git\DietTrack\src\app\modules\meals\components\view-meal\view-meal.component.ts", "TypeScript", 101, 0, 0, 0, 23, 124
"c:\Git\DietTrack\src\app\modules\meals\meals-routing.module.ts", "TypeScript", 27, 0, 0, 0, 4, 31
"c:\Git\DietTrack\src\app\modules\meals\meals.module.ts", "TypeScript", 32, 0, 0, 0, 4, 36
"c:\Git\DietTrack\src\app\modules\scanner\components\scanner\scanner.component.html", "HTML", 0, 52, 0, 0, 1, 53
"c:\Git\DietTrack\src\app\modules\scanner\components\scanner\scanner.component.scss", "SCSS", 0, 0, 12, 0, 3, 15
"c:\Git\DietTrack\src\app\modules\scanner\components\scanner\scanner.component.spec.ts", "TypeScript", 43, 0, 0, 0, 7, 50
"c:\Git\DietTrack\src\app\modules\scanner\components\scanner\scanner.component.ts", "TypeScript", 80, 0, 0, 0, 14, 94
"c:\Git\DietTrack\src\app\modules\scanner\scanner-routing.module.ts", "TypeScript", 14, 0, 0, 0, 3, 17
"c:\Git\DietTrack\src\app\modules\scanner\scanner.module.ts", "TypeScript", 24, 0, 0, 0, 4, 28
"c:\Git\DietTrack\src\app\modules\shared\back-button\back-button.component.html", "HTML", 0, 2, 0, 0, 0, 2
"c:\Git\DietTrack\src\app\modules\shared\back-button\back-button.component.scss", "SCSS", 0, 0, 6, 0, 1, 7
